App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,Operating System,Addicted,Usage_Intensity,Screen_Data_Ratio
393,6.4,1872,67,1122,40,0,0,1,7.35696,0.005699020480854853
268,4.7,1331,42,944,47,1,0,0,3.56708,0.004973544973544974
154,4.0,761,32,322,42,0,0,0,1.17194,0.01238390092879257
239,4.8,1676,56,871,20,0,0,0,4.00564,0.005504587155963302
187,4.3,1367,58,988,31,1,1,0,2.55629,0.004347826086956522
99,2.0,940,35,564,31,0,0,0,0.9306,0.0035398230088495575
350,7.3,1802,66,1054,21,1,0,1,6.307,0.006919431279620853
543,11.4,2956,82,1702,31,0,0,1,16.05108,0.006694069289489137
340,7.7,2138,75,1053,42,1,0,1,7.2692,0.007305502846299811
424,6.6,1957,75,1301,42,0,1,1,8.29768,0.005069124423963133
53,1.4,435,17,162,34,1,0,0,0.23055,0.008588957055214723
215,5.5,1690,47,641,24,0,0,0,3.6335,0.008566978193146417
462,6.2,2303,65,1099,57,1,0,1,10.63986,0.005636363636363636
215,4.9,1662,43,857,43,0,0,0,3.5733,0.005710955710955711
189,5.4,1754,53,779,49,1,1,0,3.31506,0.006923076923076923
503,10.4,2571,84,2025,39,1,0,1,12.93213,0.005133267522211254
132,3.6,628,32,344,47,1,0,0,0.82896,0.010434782608695653
299,5.8,1431,41,985,44,1,1,0,4.27869,0.0058823529411764705
81,1.4,558,16,297,26,1,0,0,0.45198,0.004697986577181208
577,8.5,2774,89,2192,29,1,1,1,16.00598,0.003875968992248062
93,2.6,681,37,302,45,1,0,0,0.63333,0.008580858085808581
576,11.6,2803,82,1553,43,1,0,1,16.14528,0.007464607464607464
423,6.5,2094,65,1372,23,1,0,1,8.85762,0.0047341587764020395
292,5.6,1401,46,949,37,1,0,0,4.09092,0.0058947368421052625
216,4.0,1711,59,748,58,0,0,0,3.69576,0.0053404539385847796
91,3.4,1073,38,451,52,0,0,0,0.97643,0.00752212389380531
444,7.6,2372,77,1002,29,0,1,1,10.53168,0.007577268195413758
512,10.5,2409,89,1599,33,0,0,1,12.33408,0.0065625
452,6.8,2387,77,1456,55,1,0,1,10.78924,0.004667124227865477
412,6.2,1899,78,1384,19,1,0,1,7.82388,0.004476534296028881
260,6.0,1361,44,889,37,1,0,0,3.5386,0.006741573033707865
