Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class,Device Model_OnePlus 9,Device Model_Samsung Galaxy S21,Device Model_Xiaomi Mi 11,Device Model_iPhone 12,Battery_per_App_Usage,Data_per_App_Usage,App_Screen_Ratio,Usage_Intensity,Age_Group,Digital_Footprint
0,393,6.4,1872,67,1122,40,0,4,0,0,0,0,4.7513,2.8477,61.3105,26331,2,1.732
0,268,4.7,1331,42,944,47,1,3,1,0,0,0,4.948,3.5093,56.9002,11256,3,1.2709
0,154,4.0,761,32,322,42,0,2,0,0,1,0,4.9097,2.0774,38.404,4928,2,0.6407
0,239,4.8,1676,56,871,20,0,3,0,0,0,0,6.9833,3.6292,49.6881,13384,0,1.3085
1,187,4.3,1367,58,988,31,1,3,0,0,0,1,7.2713,5.2553,43.3875,10846,1,1.1651
0,99,2.0,940,35,564,31,0,2,0,0,0,0,9.4,5.64,49.2537,3465,1,0.7055
0,350,7.3,1802,66,1054,21,1,4,0,1,0,0,5.1339,3.0028,47.8796,23100,0,1.6095
0,543,11.4,2956,82,1702,31,0,5,1,0,0,0,5.4338,3.1287,47.5898,44526,1,2.5773
0,340,7.7,2138,75,1053,42,1,4,0,1,0,0,6.2698,3.088,44.0986,25500,2,1.7046
1,424,6.6,1957,75,1301,42,0,4,0,0,0,1,4.6047,3.0612,64.1452,31800,2,1.8839
0,53,1.4,435,17,162,34,1,1,0,0,0,0,8.0556,3.0,37.5887,901,1,0.2988
0,215,5.5,1690,47,641,24,0,3,1,0,0,0,7.8241,2.9676,39.02,10105,0,1.1809
0,462,6.2,2303,65,1099,57,1,4,1,0,0,0,4.9741,2.3737,74.3961,30030,3,1.9822
0,215,4.9,1662,43,857,43,0,3,0,0,1,0,7.6944,3.9676,43.7882,9245,2,1.258
1,189,5.4,1754,53,779,49,1,3,0,0,0,1,9.2316,4.1,34.9353,10017,3,1.2141
0,503,10.4,2571,84,2025,39,1,5,0,0,0,0,5.1012,4.0179,48.3189,42252,2,2.5111
0,132,3.6,628,32,344,47,1,2,1,0,0,0,4.7218,2.5865,36.5651,4224,3,0.5683
1,299,5.8,1431,41,985,44,1,3,0,0,0,1,4.77,3.2833,51.463,12259,2,1.3726
0,81,1.4,558,16,297,26,1,1,0,0,0,0,6.8049,3.622,57.4468,1296,1,0.4408
1,577,8.5,2774,89,2192,29,1,5,0,0,0,1,4.7993,3.7924,67.8026,51353,1,2.7696
0,93,2.6,681,37,302,45,1,2,0,1,0,0,7.2447,3.2128,35.6322,3441,3,0.504
0,576,11.6,2803,82,1553,43,1,5,1,0,0,0,4.8579,2.6915,49.6124,47232,2,2.5217
0,423,6.5,2094,65,1372,23,1,4,0,1,0,0,4.9387,3.2358,64.977,27495,0,1.9564
0,292,5.6,1401,46,949,37,1,3,0,0,0,0,4.7816,3.2389,52.0499,13432,2,1.3364
0,216,4.0,1711,59,748,58,0,3,1,0,0,0,7.8848,3.447,53.8653,12744,3,1.2324
0,91,3.4,1073,38,451,52,0,2,0,1,0,0,11.663,4.9022,26.6862,3458,3,0.6913
1,444,7.6,2372,77,1002,29,0,4,0,0,0,1,5.3303,2.2517,58.3443,34188,1,1.9363
0,512,10.5,2409,89,1599,33,0,5,0,0,0,0,4.6959,3.117,48.7155,45568,1,2.3014
0,452,6.8,2387,77,1456,55,1,4,1,0,0,0,5.2693,3.2141,66.373,34804,3,2.1365
0,412,6.2,1899,78,1384,19,1,4,0,1,0,0,4.5981,3.3511,66.3446,32136,0,1.8777
0,260,6.0,1361,44,889,37,1,3,0,0,1,0,5.2146,3.4061,43.2612,11440,2,1.2455
0,197,4.6,1660,59,975,25,0,3,0,0,1,0,8.3838,4.9242,42.7332,11623,1,1.2745
0,278,4.7,1484,55,917,21,0,3,0,0,0,0,5.319,3.2867,59.0234,15290,0,1.3279
0,46,2.0,457,14,105,58,0,1,0,0,0,0,9.7234,2.234,22.8856,644,3,0.2717
0,593,10.2,2499,81,1616,38,1,5,0,0,1,0,4.2071,2.7205,58.0803,48033,2,2.4738
0,32,1.2,580,19,153,20,1,1,0,1,0,0,17.5758,4.6364,26.4463,608,0,0.3086
1,122,3.3,755,30,573,26,0,2,0,0,0,1,6.1382,4.6585,36.858,3660,1,0.6857
0,522,11.2,2808,93,2328,24,0,5,0,1,0,0,5.369,4.4512,46.5656,48546,0,2.7434
0,473,6.4,2312,74,1400,40,0,4,1,0,0,0,4.8776,2.9536,73.791,35002,2,2.1241
0,398,6.2,1851,77,1180,23,0,4,0,1,0,0,4.6391,2.9574,64.0902,30646,0,1.7566
0,240,4.7,1464,52,708,56,1,3,0,0,1,0,6.0747,2.9378,50.9554,12480,3,1.174
0,576,10.1,2447,83,2323,33,0,5,1,0,0,0,4.2409,4.026,56.9733,47808,1,2.7111
0,120,2.1,720,39,392,43,0,2,0,1,0,0,5.9504,3.2397,56.872,4680,2,0.5982
0,152,3.7,993,32,429,18,0,2,0,1,0,0,6.4902,2.8039,40.9704,4864,0,0.7578
0,138,2.4,837,21,572,56,1,2,0,0,1,0,6.0216,4.1151,57.2614,2898,3,0.7395
0,502,10.9,2476,96,1935,39,0,5,0,0,1,0,4.9225,3.8469,46.0128,48192,2,2.4417
0,558,8.4,2447,97,1594,22,1,5,1,0,0,0,4.3775,2.8515,66.3496,54126,0,2.3891
0,138,3.6,889,25,323,27,1,2,0,1,0,0,6.3957,2.3237,38.2271,3450,1,0.6572
0,580,8.2,2623,90,2262,49,0,5,0,0,0,0,4.5146,3.8933,70.6456,52200,3,2.7522
0,589,8.7,2736,82,1997,49,0,5,1,0,0,0,4.6373,3.3847,67.6234,48298,3,2.6988
0,452,7.4,2180,61,1417,54,1,4,0,0,1,0,4.8124,3.128,60.9987,27572,3,2.0517
0,245,5.9,1243,52,885,29,0,3,0,0,1,0,5.0528,3.5976,41.4552,12740,1,1.1794
0,125,2.7,690,28,393,27,1,2,0,1,0,0,5.4762,3.119,46.1255,3500,1,0.597
0,97,2.2,1101,38,375,53,0,2,0,0,1,0,11.2347,3.8265,43.8914,3686,3,0.6802
